C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_12_30_14_18_03_189.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_12_30_14_18_03_189.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_12_30_14_18_03_189.jpg,0,0,0,15.63083
C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_12_30_14_18_03_318.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_12_30_14_18_03_318.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_12_30_14_18_03_318.jpg,0,0.2003131,0,15.49371
C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_12_30_14_18_03_386.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_12_30_14_18_03_386.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_12_30_14_18_03_386.jpg,0,0.4021126,0,15.74735
C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_12_30_14_18_03_512.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_12_30_14_18_03_512.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_12_30_14_18_03_512.jpg,-0.3,0.8018018,0,16.2755
C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_12_30_14_18_03_579.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_12_30_14_18_03_579.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_12_30_14_18_03_579.jpg,-0.5000001,1,0,16.97146
C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_12_30_14_18_03_653.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_12_30_14_18_03_653.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_12_30_14_18_03_653.jpg,-0.6500001,1,0,17.60746
C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_12_30_14_18_03_793.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_12_30_14_18_03_793.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_12_30_14_18_03_793.jpg,-1,1,0,18.5981
C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_12_30_14_18_03_919.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_12_30_14_18_03_919.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_12_30_14_18_03_919.jpg,-1,1,0,19.86804
C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_12_30_14_18_03_989.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_12_30_14_18_03_989.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_12_30_14_18_03_989.jpg,-1,1,0,20.32633
C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\center_2019_12_30_14_18_04_059.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\left_2019_12_30_14_18_04_059.jpg,C:\Users\cttc\Desktop\car3\beta_simulator_windows\beta_simulator_Data\IMG\right_2019_12_30_14_18_04_059.jpg,-1,1,0,21.06746
